domain,street_address,mailable,in_target_list,flag
aklinebuilders.com,"PO BOX 521405; BIG LAKE, Alaska 99652, US",yes,yes,
akronelectric.net,"3935 Bayless Ave, St. Louis, MO 63125, US",yes,yes,
alaelectric.com,"1728 Headland Avenue P.O. Box 8277; Dothan, Alabama 36304, US",yes,yes,
alamotransformer.com,"4931 SPACE CENTER DRIVE; SAN ANTONIO, Texas 78218, US",yes,yes,
albarell.com,"Bethlehem, Pennsylvania 18018, US",NO - city/state only,yes,
albdinc.com,"1031 S Leslie St, La Habra, California 90631, US",yes,yes,
albrechtellc.com,"P.O. Box 1451, Birmingham, Michigan 48012, US",yes,yes,
alcanelectric.com,"6670 Arctic Spur Road; Anchorage, Alaska 99518, US",yes,yes,
alcatex.com,"669 Farm Rd 1138, Royse City, TX 75189",yes,yes,
alertanalytical.com,"P.O. Box 12, Saxon, Wisconsin 54559-0012, US",yes,yes,
alessandroelectric.com,"181 Hyatt Ave; Yonkers, New York 10704-3637, US",yes,yes,
alexander-electric.com,"1411 Belfast Ave; Columbus, GA 31904, US",yes,yes,
alfatransformer.com,"6107 S Zero St, Fort Smith, AR 72903, US",yes,yes,
all-briteinc.com,"5 Industry Drive Ext; West Haven, CT 06516, US",yes,yes,
allcomelectric.com,"7042 Commerce Circle, Ste A, Pleasanton, California 94588, US",yes,yes,
alleghenycityelectric.com,"1139 Woodland Ave; Pittsburgh, Pennsylvania 15212-2664, US",yes,yes,
allelectricmotorsla.com,"11784 Sheldon St # 11; Sun Valley, California 91352-1568, US",yes,yes,
allenelectric.com,"11043 Citrus Dr #4129, Ventura, CA 93007, US",yes,yes,
allenselectricmotors.com,"400 Roy Hoppy Hopkins Dr; Vivian, Louisiana 71082, US",yes,yes,
alliedcontrol.com,"611 Garfield Avenue; West Point, PA 19486, US",yes,yes,
alliedcorrosion.com,"1550 Cobb Industrial Drive NE, Marietta, Georgia 30066, US",yes,yes,
alliedelectric.us,"4355 E University Ave; Georgetown, Texas 78626, US",yes,yes,
alliedelectrical.com,"1425 Lindbergh Dr, Beaumont, TX 77707, US",yes,yes,
allindustrialelectric.com,"432 E State Parkway Ste A, Schaumburg, Illinois 60173, US",yes,yes,
allphaseelectric.net,"1031 Pennsylvania Ave; Linden, NJ 07036, US",yes,yes,
allphaseelectricfl.com,"4301 W South Ave; Tampa, Florida 33614, US",yes,yes,
allphasela.com,"122 Salsman St, Lafayette, Louisiana 70506, US",yes,yes,
allphasepl.com,"2122 Campbell St; Sandusky, Ohio 44870, US",yes,yes,
allproelectrical.com,"94 SE 501; Warrensburg, Missouri 64093, US",yes,yes,
allsouthlightningprotection.com,"5307 N Falkenburg Rd., Bldg. A, Tampa, Florida 33610, US",yes,yes,
allstarelectrical.com,"3311 East 42nd Avenue; Denver, CO 80216, US",yes,yes,
allstarie.com,"523 E Oak Hill Drive; Spring, Texas 77386, US",yes,yes,
allstateelec.com,"4390 Interstate Dr, Macon, Georgia 31210, US",yes,yes,
alltechllc.com,"117 Hillside Dr; Lewisville, Texas 75057, US",yes,yes,
alltradeindustries.com,"11 Lakeside Dr; Wolcott, Connecticut 06716-3242, US",yes,yes,
allumiax.com,"1187 N Willow Ave STE 103-40, Clovis, California 93611, US",yes,yes,
almanelec.com,"7677 Hunnicut Rd; Dallas, Texas 75228-6947, US",yes,yes,
alphaee.com,"1100 East 34th Street; Kansas City, Missouri 64109, US",yes,yes,
alphaindustries.pro,"1909 Snyder Rd, Ulster, Pennsylvania 18850, US",yes,yes,
alphapowergroup.com,"301 E Pine St; Suite 840; Orlando, Florida 32801, US",yes,yes,
alpinecr.com,"2480 Highway 421 N; Boone, NC 28607, US",yes,yes,
alselectric.ca,"[no street] Riverview, CA (Canadian entity)",yes,yes,
alternalite.com,"North Olmsted, OH 44070, US",NO - city/state only,yes,
altimateelectric.com,"2401 Back Acre Circle; Mount Airy, Maryland 21771, US",yes,yes,
alvahgroup.com,"Oakland, CA, US",NO - city/state only,yes,
amberelectrical.com,"2251 Century Center Blvd, Irving, Texas 75062-4907, US",yes,yes,
amconindustrial.com,"1375 OAKLEY INDUSTRIAL BLVD; FAIRBURN, GA 30213, US",yes,yes,
amelectricinc.com,"15132 Clark Ave; Hacienda Heights, CA 91745, US",yes,yes,
ameninc.com,"246 Tucannon Rd, Dayton, WA 99328, US",yes,yes,
americanconnectors.com,"2000 MLK Fwy, Fort Worth, Texas 76104, US",yes,yes,
americanenergy.us,"999 Lake Dr; Issaquah, Washington 98027, US",yes,yes,
americanpowercomm.net,"1416 MARIANI CT; Tracy, California 95376, US",yes,yes,
americanscii.com,"1012 11th St, Suite 103, Modesto, California 95354, US",yes,yes,
amesolutions.com,"217 SW 28th St; Fort Lauderdale, FL 33315, US",yes,yes,
amexelectric.com,"7677 Hunnicut Rd, Dallas, Texas 75228, US",yes,yes,
amfacpro.com,"33 Arch St; Boston, Massachusetts 02110, US",yes,yes,
amp-ind.com,"260 Scotland Dr, Alabaster, Alabama 35007, US",yes,yes,
ampedi.com,"1801 W Warner Avenue, Suite 300, Chicago, IL 60613, US",yes,yes,
ampelectricalinc.com,"1420 Union St Ext, West Springfield, MA 01089",yes,yes,
ampleelectric.com,"16 Light Sky Court; Sacramento, CA 95828, US",yes,yes,
amppconstruction.com,"810 W Washington St, Winchester, IN 47394, US",yes,yes,
ampsafe.com,"2722 W Bitters Rd; Suite 125; San Antonio, Texas 78248, US",yes,yes,
amptekcontractors.com,"212 E 4th Ave N; Aurora, Minnesota 55705, US",yes,yes,
ams-corp.com,"9119 Cross Park Drive, Knoxville, Tennessee 37923, US",yes,yes,
amwestcontrol.com,"10175 E. 106th Ave., Brighton, Colorado 80601, US",yes,yes,
anchorelectricmotors.com,"678 Silver St; Agawam, Massachusetts 01001, US",yes,yes,
ancoholdings.com,"46619 SD-38; Hartford, South Dakota 57033, US",yes,yes,
anconacontrols.com,"28021 Grand Oaks Court, Wixom, Michigan 48393, US",yes,yes,
andersonandwood.com,"2120 E Lanark St; Meridian, Idaho 83642, US",yes,yes,
andrewelectric.com,"Glendora, California 91740-0000, US",NO - city/state only,yes,
angielecc.com,"4311 Belmont Ave, Dallas, Texas 75204-3032, US",yes,yes,
anmarcorporation.com,"92 Park Ave; WARMINSTER, Pennsylvania 18974, US",yes,yes,
annunciator.com,"39 Hutcheson Place, Lynbrook, N.Y. 11563, US",yes,yes,
apexelectriccompany.com,"3007 Calhoun Ave; Chattanooga, Tennessee 37407-0598, US",yes,yes,
apexelectricgroup.com,"11 3rd St, #856, Auburn, Washington 98071, US",yes,yes,
applied-dynamics.com,"38 Butternut Street; I-91 Industrial Park; Greenfield, MA 01301, US",yes,yes,
apprep.com,"11241 Nursery Rd; Hagerstown, Maryland 21740, US",yes,yes,
apspower.com,"121 Weldon Parkway, Maryland Heights, MO 63043, US",yes,yes,
arcadiaelectrical.com,"1005 Wyckoff Ave; Ridgewood, New York 11385-5354, US",yes,yes,
arcflashelectric.com,"406 Madison Avenue, Suite 7, Orange Park, FL 32065, US",yes,yes,
arcflashpro.com,"5 S Peoria St; Louisburg, KS 66053, US",yes,yes,
archiableelectric.com,"3803 Ford Circle, Cincinnati, Ohio 45227-3403, US",yes,yes,
arcoelectric.us,"1302 Rising Ridge Rd; #9; Mount Airy, Maryland 21771, US",yes,yes,
arcpowersvc.com,"3204 S County Rd 1206, Midland, TX 79706",yes,yes,
arcstarelectric.com,"3425 N 21st, Ozark, MO 65721, US",yes,yes,
areawideelectric.com,"340 N Rock Island St, Wichita, Kansas 67202-2726, US",yes,yes,
argo-sys.com,"1362 Mellon Road; Suite 100; Hanover, Maryland 21076, US",yes,yes,
armorelectrical.com,"105 N Alamo Rd, Rockwall, TX 75087",yes,yes,
armorelectricrepair.com,"531 Linkwood Rd, Rock Hill, South Carolina 29730, US",yes,yes,
arrowheadline.com,"11201 W U.S. Highway 60; Canyon, Texas 79015, US",yes,yes,
arselectricnyc.com,"77 Jericho Tpke, Mineola, New York 11501, US",yes,yes,
artesiapilarelectrical.com,"2516 W 5th St, Santa Ana, CA 92703",yes,yes,
asbenergy.com,"11557 Circle C Trail, Amarillo, Texas 79118, US",yes,yes,
ase-ar.com,"182 Whited Farm Ln, Hot Springs, AR 71913",yes,yes,
aselectric.com,"80 Cleveland Street; Nashville, TN 37207, US",yes,yes,
asesafety.com,"5055 Pilgrim Rd, Flint, MI 48507, US",yes,yes,
asfelectric.net,"76 Hill Street; Daly City, California 94014, US",yes,yes,
asignbydesign.com,"501 W. Noble St., Lebanon, IN 46052, US",yes,,
asoliswelding.com,"15500 STATE HIGHWAY 46 W, Spring Branch, TX 78070, US",yes,,
asoundlook.com,"2001 Vivigen Way, Santa Fe, New Mexico 87505, US",yes,,
astuteng.com,"Vienna, Virginia 22182, US",NO - city/state only,yes,
atekelectric.com,"175 Vincent St; Smiths Grove, Kentucky 42171, US",yes,yes,
atlas-pellizzari.com,"450 Howland Street, Redwood City, CA 94063, US",yes,yes,
atlaselectricalconst.com,"824 Metcalf St # B; Sedro Woolley, Washington 98284-1423, US",yes,yes,
atokainc.com,"2695 Airport Road, Hot Springs, AR 71913, US",yes,,
ats-inc.org,"416 Creek Side Drive; Fairfax, IA 52228, US",yes,yes,
ats4solutions.com,"55 W Army Trail Rd, Suite 101, Glendale Heights, IL 60108-2186, US",yes,,
atscc.com,"1111 N I H 35 # 206, Round Rock, Texas 78664, US",yes,yes,
auipartners.com,"9800 Hillwood Pkwy, Suite 160, Fort Worth, Texas 76177, US",yes,,
austgen.com,"801 E Main St # 1; Griffith, Indiana 46319-2885, US",yes,yes,
austinelectricalconstruction.com,"17566 MAIN STREET; BUCHANAN, Virginia 24066, US",yes,yes,
austintechgroup.com,"1800 Sandy Plains Industrial Pkwy, Ste 325, Marietta, Georgia 30066, US",yes,,
