event,series,start,city,state,company,domain,hq,employees,ownership,founded,in_target_list,priority,bucket,have_contact
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,American Furukawa Inc.,americanfurukawa.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Tacoma Public Utilities,mytpu.org,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,East Kentucky Power Cooperative,ekpc.coop,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Dairyland Power Cooperative,dairylandpower.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,AiDash Inc,aidash.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Georgia Transmission Corporation,gatransmission.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Arbor Day Foundation,arborday.org,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,EA Technology,eatechnology.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Hoosier Energy,hoosierenergy.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Think Power Solutions,thinkpowersolutions.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Eaton,cooperindustries.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Great Lakes Energy,gtlakes.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,Pano,pano.ai,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"Access Intelligence, LLC.",accessintel.com,,,,,,,,
Transmission & Distribution Conference 2024,Transmission & Distribution Conference,2024-11-18,Rancho Mirage,CA,"TXNM Energy, Inc.",txnmenergy.com,,,,,,,,
